k_i,k_r,weights,
0.00176053,0.10548,0.00204772,
0.00179358,0.107896,0.00205544,
0.00159778,0.0932521,0.00207466,
0.00206462,0.121464,0.00204033,
0.00190789,0.114604,0.00202902,
0.00174989,0.105344,0.00206213,
0.00207935,0.117449,0.00203633,
0.0019181,0.115423,0.00205235,
0.0019355,0.124304,0.00186682,
0.00194738,0.102983,0.00197344,
0.00168341,0.0984347,0.00210142,
0.00176972,0.10575,0.00205235,
0.00177036,0.103623,0.00210296,
0.00191657,0.109848,0.00208392,
0.00228879,0.131577,0.00196433,
0.00187911,0.105124,0.00211034,
0.00181752,0.106379,0.00209576,
0.0017048,0.100862,0.00207088,
0.00252207,0.158728,0.00180859,
0.00170427,0.100332,0.00207483,
0.00165411,0.0966966,0.00209747,
0.00187521,0.0984856,0.00197378,
0.00181348,0.101553,0.00210417,
0.00207705,0.121266,0.00203057,
0.00152383,0.0810235,0.00208718,
0.0028846,0.171979,0.00168843,
0.00186144,0.0983257,0.00197824,
0.00239875,0.153079,0.001835,
0.0017314,0.0975506,0.0021172,
0.00199198,0.118135,0.00206505,
0.00242905,0.153897,0.00185949,
0.0023572,0.124563,0.00169518,
0.00190723,0.109986,0.00208152,
0.00172688,0.102882,0.00204892,
0.00179602,0.100167,0.00209542,
0.00161639,0.093783,0.0020997,
0.00237704,0.124975,0.00168134,
0.00182084,0.100999,0.00207809,
0.0018623,0.104676,0.00207654,
0.00173713,0.0956706,0.00209868,
0.0017524,0.102502,0.00208701,
0.00188342,0.106112,0.00209181,
0.00191815,0.104816,0.0020213,
0.00167883,0.100125,0.00205939,
0.00180815,0.105052,0.0020973,
0.00172994,0.100919,0.00208804,
0.00293972,0.180712,0.0017259,
0.00191213,0.109401,0.0020949,
0.00226038,0.144179,0.00182563,
0.00176932,0.099703,0.00213282,
0.00178816,0.10673,0.0020551,
0.00183377,0.0995261,0.00206025,
0.00244553,0.146565,0.00186044,
0.00291049,0.175217,0.00168927,
0.00184254,0.107917,0.0020997,
0.00182902,0.101494,0.00208804,
0.00168812,0.0980578,0.00210091,
0.0023786,0.150805,0.00183578,
0.00292873,0.179222,0.00164335,
0.00167325,0.0969001,0.0021287,
0.0019024,0.11526,0.00202954,
0.00167772,0.0980222,0.00209507,
0.00204755,0.116492,0.00204309,
0.00164548,0.103752,0.00189366,
0.00185372,0.100635,0.00205853,
0.00266483,0.169016,0.00178073,
0.00286198,0.162183,0.00164342,
0.00177682,0.0996078,0.00210005,
0.002793,0.162031,0.0017208,
0.00236156,0.141394,0.00191462,
0.0028793,0.171908,0.00172146,
0.001691,0.102805,0.00201084,
0.00258146,0.140974,0.00169345,
0.00162777,0.102237,0.00190258,
0.00210121,0.123306,0.00203961,
0.00151935,0.0763672,0.00196452,
0.00193229,0.124998,0.0018471,
0.001852,0.100815,0.00207003,
0.00170942,0.0988501,0.00211686,
0.00187409,0.124693,0.00175563,
0.00187904,0.100898,0.00201976,
0.00172827,0.0847565,0.00182676,
0.00154474,0.0885673,0.00210262,
0.0024166,0.154637,0.00180043,
0.00179733,0.107849,0.00207654,
0.00164744,0.0987927,0.00205064,
0.0017727,0.105859,0.00204824,
0.00188393,0.114855,0.00202027,
0.00191518,0.123509,0.00186244,
0.00184915,0.104419,0.0020937,
0.00145283,0.078424,0.00205064,
0.00247434,0.154002,0.0018376,
0.00234778,0.14075,0.00194664,
0.00212045,0.120603,0.00201043,
0.00182896,0.104666,0.00211309,
0.00242011,0.15156,0.00187734,
0.00189876,0.112622,0.00207706,
0.0015742,0.0921119,0.00206505,
0.0017919,0.110059,0.00201547,
0.00176928,0.106003,0.0020611,
0.00179325,0.105831,0.00208752,
0.00196168,0.116728,0.00205458,
0.00189443,0.101025,0.00199763,
0.00182898,0.0996675,0.00207243,
0.00225597,0.126788,0.0019234,
0.00228029,0.145329,0.00186045,
0.00174554,0.0957215,0.00210365,
0.00178327,0.107658,0.00204463,
0.00176849,0.103607,0.00209044,
0.00244118,0.152963,0.00182444,
0.00248009,0.155059,0.00184759,
0.00180132,0.106767,0.00205544,
0.00186271,0.105069,0.00208975,
0.00196492,0.125168,0.0018992,
0.0014875,0.0827863,0.00209799,
0.00174494,0.102454,0.00208804,
0.00191944,0.12348,0.00185371,
0.00194516,0.103038,0.0019556,
0.00191362,0.12338,0.00186444,
0.00176071,0.105368,0.00203743,
0.00190192,0.100302,0.0019978,
0.002096,0.118737,0.0020252,
0.00183502,0.104816,0.00210451,
0.0017849,0.101874,0.00210588,
0.00253115,0.157946,0.00178187,
0.0019155,0.123555,0.00184637,
0.00182233,0.106699,0.00208752,
0.00174237,0.104299,0.00204137,
0.00246823,0.15326,0.00182611,
0.00216353,0.144642,0.00174125,
0.00182453,0.100207,0.00207757,
0.00187649,0.125642,0.00173802,
0.00164802,0.103705,0.00191168,
0.00211015,0.123221,0.00202783,
0.00181539,0.107976,0.00206436,
0.00185804,0.120659,0.00185187,
0.0016097,0.094374,0.00206454,
0.00247263,0.155785,0.00183095,
0.00191184,0.108181,0.00208632,
0.00186259,0.101699,0.00206093,
0.00201387,0.120814,0.00204066,
0.0023282,0.140389,0.00192734,
0.00236613,0.150509,0.00182478,
0.00181119,0.0992812,0.00209456,
0.00228585,0.142795,0.00188545,
0.0016966,0.098173,0.00209696,
0.0016905,0.0998513,0.00206488,
0.00243565,0.143433,0.00191281,
0.00188159,0.124901,0.00175546,
0.00176748,0.103624,0.00207088,
0.00162783,0.0939539,0.0020985,
0.00189256,0.10566,0.00207174,
0.00212119,0.11976,0.00198681,
0.0018376,0.10605,0.00208718,
0.00222169,0.123301,0.00192911,
0.00189115,0.102542,0.00200895,
0.00244878,0.155396,0.00181874,
0.00181644,0.102673,0.00210777,
0.00180848,0.101329,0.00212424,
0.00183519,0.108786,0.00208564,
0.00181266,0.108056,0.00206728,
0.00178975,0.105226,0.00208049,
0.00156507,0.0924687,0.00204326,
0.0020771,0.117921,0.00205422,
0.00240459,0.151614,0.00187631,
0.00188399,0.101665,0.0020189,
0.0016148,0.0944119,0.00208306,
0.00184327,0.101858,0.00208975,
0.0018273,0.1059,0.00211154,
0.00288085,0.17307,0.00171978,
0.0014679,0.079291,0.00209353,
0.0017744,0.0999758,0.00211532,
0.0019641,0.116688,0.00206539,
0.00183161,0.11008,0.00206522,
0.00173758,0.107691,0.00198853,
0.00180415,0.110799,0.00201084,
0.00166088,0.0962886,0.00210451,
0.00187416,0.103688,0.00208324,
0.00165305,0.101277,0.00197996,
0.00178461,0.108298,0.00203949,
0.00179044,0.0993987,0.00210725,
0.0016598,0.0981426,0.00208975,
0.00182701,0.0981181,0.00204858,
0.00152698,0.0914225,0.00200689,
