theta_0,theta_1,distances,
0.00244891, 0.0212587, 117.214, 
0.00125537, 0.122565, 243.262, 
0.00296275, 0.129489, 47.1909, 
0.000897973, 0.0327731, 132.218, 
0.00202662, 0.0463014, 65.8508, 
0.000542161, 0.0472804, 259.029, 
0.000430776, 0.106418, 315.287, 
0.00263964, 0.126028, 55.9067, 
0.00121921, 0.181685, 293.946, 
0.00244705, 0.130461, 86.9052, 
0.00222767, 0.151371, 148.264, 
0.000452638, 0.134085, 316.389, 
0.00163142, 0.189748, 267.69, 
0.00204882, 0.0577045, 54.7949, 
0.00185499, 0.0178382, 129.211, 
0.000693386, 0.108869, 301.361, 
0.00222211, 0.120041, 68.2754, 
0.000737159, 0.0561916, 229.107, 
0.000475508, 0.153308, 318.537, 
0.00134601, 0.0444568, 75.3964, 
0.00193964, 0.0287967, 92.659, 
0.000137031, 0.0358406, 318.146, 
0.00162041, 0.172695, 260.887, 
0.0025824, 0.0756658, 56.2458, 
0.00183541, 0.00847579, 203.51, 
0.000171419, 0.138034, 323.756, 
0.000258071, 0.145643, 321.829, 
0.00140815, 0.0905238, 160.874, 
0.00214581, 0.0724009, 43.6955, 
0.00132181, 0.142064, 277.238, 
0.00288417, 0.155834, 84.0402, 
0.00136757, 0.172153, 279.705, 
0.00028246, 0.070181, 316.647, 
0.00138552, 0.0983744, 178.721, 
0.00109422, 0.0395713, 102.201, 
0.00204982, 0.186325, 235.856, 
0.00160955, 0.0746486, 69.0029, 
0.000100274, 0.100991, 324.478, 
0.00173052, 0.191109, 273.076, 
0.0023626, 0.100872, 50.3012, 
0.00167553, 0.031162, 86.3133, 
0.000934037, 0.0687992, 205.095, 
0.000107744, 0.121056, 323.532, 
0.00222304, 0.131617, 99.6717, 
0.00283613, 0.131268, 72.7531, 
0.00207828, 0.198171, 248.548, 
0.00135163, 0.159264, 278.611, 
0.00277877, 0.0736615, 66.4658, 
0.00252339, 0.19637, 194.931, 
0.000457789, 0.133756, 317.34, 
0.00107885, 0.155265, 292.982, 
0.00129041, 0.0529294, 85.9239, 
0.00250881, 0.126997, 68.4069, 
0.000820363, 0.189298, 311.174, 
0.00275933, 0.0708089, 68.7033, 
0.00113786, 0.105273, 245.068, 
0.00151601, 0.157153, 253.867, 
0.00209296, 0.114904, 92.2521, 
0.000383159, 0.0790195, 311.811, 
0.00256262, 0.03599, 87.6258, 
0.00113337, 0.10336, 231.49, 
